service,offer,monthly_usd,billing_basis,official_url
Livesets,Livesets,0,Free,https://www.livesets.com/
SonoBus,SonoBus,0,Free and open source,https://sonobus.net/
Mixlr,Mixlr Beginner,0,3 live hours per month,https://mixlr.com/join?jump_to=%2Fsetup-free-plan&price=FREE&price_id=107&show_steps=true
Audiomovers LISTENTO,"LISTENTO Basic, annual",4.99,$59.99 billed annually,https://audiomovers.com/products/listento
Audiomovers LISTENTO,"LISTENTO Pro, annual",9.99,$119.99 billed annually,https://audiomovers.com/products/listento
Radio.co,Radio.co Lite,35,Monthly price shown,https://www.radio.co/pricing
Mixlr,Mixlr Intermediate,49,Monthly; $38 monthly equivalent annually,https://mixlr.com/priceplans
